#{"t_start": 1775688900.2600634, "env_id": "None"}
r,l,t
-15.377,150,52.624188
-37.694,119,52.719538
-1.784,70,52.780538
1.941,5,52.786945
-26.531,17,52.802945
-36.994,25,52.823945
-12.088,150,52.953896
-18.483,150,53.085761
-11.043,150,53.205068
-14.228,150,53.321917
-5.588,150,53.446941
-9.393,150,53.581821
-15.876,150,53.700081
-21.8,150,53.818826
-17.665,150,53.938621
-42.779,76,54.012222
-16.829,150,54.129221
-30.005,92,54.203058
-15.65,150,54.313168
-4.017,77,54.385286
-28.012,150,54.511819
-47.334,58,54.557165
-51.249,87,54.630491
-15.837,150,54.752388
-32.126,150,54.866542
2.314,5,54.87194
2.593,4,54.87734
2.74,3,54.884765
2.701,6,54.890766
-10.233,150,55.045529
-20.133,150,55.171954
2.74,3,55.178853
-10.531,150,55.361331
-18.248,150,55.494758
-21.021,150,55.625444
-8.395,150,55.772055
-9.543,150,55.907071
-8.797,150,56.024779
-15.58,150,56.152969
-37.45,150,56.280217
-16.549,150,56.40195
-10.817,150,56.542541
-11.898,150,56.675993
-24.965,150,56.804116
-9.476,150,56.924114
-17.238,150,57.037321
2.675,4,57.040321
-7.778,150,57.179384
-16.922,150,57.298875
-23.951,8,57.304875
-13.12,150,57.427318
-6.631,150,57.566138
2.167,7,57.574138
-9.325,146,57.721946
-6.171,150,57.853285
-33.317,49,57.900888
-43.028,79,57.967129
-14.814,150,58.080931
2.738,4,58.08493
2.343,4,58.090931
-21.196,150,58.212146
-25.743,37,58.241145
0.358,52,58.289146
-9.545,150,58.416197
2.742,6,58.421197
-20.581,150,58.550421
-2.11,149,58.678581
2.551,5,58.687583
-12.057,150,58.824106
0.329,59,58.876296
-28.708,13,58.889294
-23.849,150,59.012908
2.626,4,59.017908
-4.361,150,59.142412
2.345,3,59.146412
-11.341,150,59.28174
-29.554,150,59.416639
2.751,5,59.421639
-20.655,150,59.551018
-14.656,150,59.688126
-11.095,150,60.126141
-12.195,150,60.262947
2.33,3,60.266947
-14.144,150,60.395608
-27.069,150,60.521469
1.345,34,60.553868
-18.683,150,60.684183
2.778,4,60.691182
2.572,7,60.698182
-20.616,150,60.827456
-6.051,150,60.947366
2.742,4,60.955367
-36.129,150,61.075552
2.328,4,61.080786
2.366,5,61.086091
-33.857,150,61.20871
-36.504,150,61.31932
-6.404,150,61.466183
-15.079,150,61.615852
-116.687,150,61.76236
2.69,3,61.76536
-31.409,34,61.794599
-43.956,31,61.829054
2.738,4,61.837431
-5.533,59,61.907427
-13.834,150,62.054366
-5.578,150,62.199301
-4.677,150,62.378555
-18.623,150,62.497892
-9.308,150,62.643674
-9.757,150,62.803801
-8.769,150,62.993953
-6.181,150,63.141057
-61.716,150,63.28789
-13.602,150,63.465882
-17.612,150,63.688915
-14.771,150,63.820755
2.761,5,63.826755
-19.812,150,63.948391
-21.671,150,64.064696
-17.073,150,64.192922
-12.769,150,64.325602
2.738,4,64.330601
-15.237,150,64.456301
-33.682,150,64.580216
2.751,5,64.585216
-27.826,150,64.70677
-36.972,150,64.842892
2.555,6,64.846892
-6.811,150,64.962486
2.759,6,64.967485
-7.839,150,65.101485
-0.755,30,65.129061
2.328,4,65.132061
-19.212,150,65.252636
2.691,6,65.25987
-17.185,150,65.384002
-11.846,150,65.520694
2.835,6,65.527694
2.682,6,65.53569
-10.2,150,65.664266
-15.478,150,65.791441
2.673,4,65.795441
2.74,3,65.801441
-43.929,150,65.922931
-17.815,150,66.046674
2.245,8,66.053674
2.776,5,66.061124
-5.599,150,66.185067
-33.03,150,66.293603
2.738,4,66.297603
-1.149,114,66.404948
2.353,4,66.407948
-18.888,150,66.530417
